Non-Ordinary step!!. step=175100, t=525300, gorputza=76,k=6
Non-Ordinary step!!. step=175100, t=525300, gorputza=77,k=6
Non-Ordinary step!!. step=175101, t=525303, gorputza=72,k=4
Non-Ordinary step!!. step=175101, t=525303, gorputza=75,k=4
Non-Ordinary step!!. step=180130, t=540390, gorputza=80,k=3
Non-Ordinary step!!. step=180131, t=540393, gorputza=78,k=4
Non-Ordinary step!!. step=180131, t=540393, gorputza=79,k=4
Non-Ordinary step!!. step=180131, t=540393, gorputza=80,k=4
Non-Ordinary step!!. step=180132, t=540396, gorputza=78,k=5
Non-Ordinary step!!. step=180132, t=540396, gorputza=79,k=5
Non-Ordinary step!!. step=180132, t=540396, gorputza=80,k=5
Non-Ordinary step!!. step=180133, t=540399, gorputza=78,k=5
Non-Ordinary step!!. step=180133, t=540399, gorputza=79,k=5
Non-Ordinary step!!. step=180133, t=540399, gorputza=80,k=5
Non-Ordinary step!!. step=180134, t=540402, gorputza=78,k=4
Non-Ordinary step!!. step=180134, t=540402, gorputza=79,k=4
Non-Ordinary step!!. step=180134, t=540402, gorputza=80,k=4
Non-Ordinary step!!. step=182377, t=547131, gorputza=80,k=3
Non-Ordinary step!!. step=182378, t=547134, gorputza=80,k=3
Non-Ordinary step!!. step=247561, t=742683, gorputza=73,k=3
Non-Ordinary step!!. step=247561, t=742683, gorputza=76,k=3
Non-Ordinary step!!. step=247562, t=742686, gorputza=72,k=4
Non-Ordinary step!!. step=247562, t=742686, gorputza=73,k=4
Non-Ordinary step!!. step=247562, t=742686, gorputza=75,k=4
Non-Ordinary step!!. step=247562, t=742686, gorputza=76,k=4
Non-Ordinary step!!. step=247563, t=742689, gorputza=72,k=4
Non-Ordinary step!!. step=247563, t=742689, gorputza=73,k=4
Non-Ordinary step!!. step=247563, t=742689, gorputza=74,k=4
Non-Ordinary step!!. step=247563, t=742689, gorputza=75,k=4
Non-Ordinary step!!. step=247563, t=742689, gorputza=76,k=4
Non-Ordinary step!!. step=247563, t=742689, gorputza=77,k=4
Non-Ordinary step!!. step=247564, t=742692, gorputza=73,k=3
Non-Ordinary step!!. step=247564, t=742692, gorputza=76,k=3
Non-Ordinary step!!. step=372225, t=1.11668e+06, gorputza=83,k=3
Non-Ordinary step!!. step=372226, t=1.11668e+06, gorputza=81,k=5
Non-Ordinary step!!. step=372226, t=1.11668e+06, gorputza=82,k=5
Non-Ordinary step!!. step=372226, t=1.11668e+06, gorputza=83,k=5
Non-Ordinary step!!. step=372227, t=1.11668e+06, gorputza=72,k=7
Non-Ordinary step!!. step=372227, t=1.11668e+06, gorputza=81,k=7
Non-Ordinary step!!. step=372227, t=1.11668e+06, gorputza=82,k=7
Non-Ordinary step!!. step=372227, t=1.11668e+06, gorputza=83,k=7
Non-Ordinary step!!. step=372228, t=1.11668e+06, gorputza=36,k=7
Non-Ordinary step!!. step=372228, t=1.11668e+06, gorputza=38,k=7
Non-Ordinary step!!. step=372228, t=1.11668e+06, gorputza=72,k=7
Non-Ordinary step!!. step=372228, t=1.11668e+06, gorputza=73,k=7
Non-Ordinary step!!. step=372228, t=1.11668e+06, gorputza=74,k=7
Non-Ordinary step!!. step=372228, t=1.11668e+06, gorputza=81,k=7
Non-Ordinary step!!. step=372228, t=1.11668e+06, gorputza=82,k=7
Non-Ordinary step!!. step=372228, t=1.11668e+06, gorputza=83,k=7
Non-Ordinary step!!. step=372229, t=1.11669e+06, gorputza=38,k=5
Non-Ordinary step!!. step=372229, t=1.11669e+06, gorputza=81,k=5
Non-Ordinary step!!. step=372229, t=1.11669e+06, gorputza=82,k=5
Non-Ordinary step!!. step=372229, t=1.11669e+06, gorputza=83,k=5
Non-Ordinary step!!. step=372230, t=1.11669e+06, gorputza=81,k=4
Non-Ordinary step!!. step=372230, t=1.11669e+06, gorputza=83,k=4
